,logM,z,gmag,rmag,gMag,rMag,n,e,B_T_r,g-r
186489,9.037,0.02474,17.19,16.75,-18.05,-18.44,2.24,0.18,0.8,0.39
186490,10.472,0.04091,16.3,15.63,-20.12,-20.73,1.1,0.52,0.13,0.61
186491,9.62,0.04118,16.83,16.52,-19.57,-19.88,2.87,0.5,0.31,0.31
186492,10.906,0.10236,17.77,16.77,-20.95,-21.75,3.76,0.48,0.99,0.8
186493,10.279,0.03857,15.75,15.18,-20.53,-21.06,1.51,0.61,0.27,0.53
186494,10.798,0.1041,17.76,16.92,-20.99,-21.63,1.33,0.37,0.15,0.64
186495,9.631,0.04939,17.39,16.92,-19.46,-19.87,1.0,0.68,0.01,0.41
186496,10.859,0.03775,15.53,14.68,-20.74,-21.51,3.05,0.66,0.4,0.77
186497,9.677,0.04258,17.16,16.6,-19.34,-19.87,5.38,0.33,0.82,0.53
186498,10.573,0.03281,15.04,14.44,-20.87,-21.41,2.1,0.32,0.23,0.54
186499,10.858,0.09153,17.79,16.8,-20.66,-21.45,7.16,0.56,0.93,0.79
186500,11.041,0.09427,16.58,15.93,-21.84,-22.37,1.29,0.49,0.09,0.53
186501,11.505,0.15461,17.75,16.65,-22.17,-22.9,5.47,0.26,0.62,0.73
186502,11.099,0.09529,17.73,16.73,-20.83,-21.64,5.44,0.57,0.96,0.81
186503,10.54,0.08179,17.38,16.72,-20.69,-21.24,0.72,0.29,0.91,0.55
186504,10.904,0.08225,17.02,16.22,-21.09,-21.76,2.35,0.06,0.23,0.67
186505,10.756,0.0819,17.57,16.67,-20.57,-21.31,5.21,0.22,0.81,0.74
186506,10.659,0.09669,16.43,16.01,-21.98,-22.34,0.84,0.27,0.17,0.36
186507,10.615,0.07074,17.11,16.45,-20.62,-21.2,1.33,0.26,0.29,0.58
186508,9.704,0.02847,15.86,15.36,-19.73,-20.18,1.26,0.05,0.15,0.45
186509,11.108,0.09155,16.99,16.34,-21.38,-21.91,8.0,0.15,0.34,0.53
186510,11.082,0.09191,17.1,16.19,-21.36,-22.08,3.64,0.25,0.46,0.72
186511,10.959,0.08064,17.28,16.35,-20.85,-21.6,3.81,0.3,0.58,0.75
186512,10.347,0.02953,15.74,14.97,-19.97,-20.66,4.09,0.2,0.99,0.69
186513,10.08,0.02938,17.04,16.22,-18.66,-19.41,1.6,0.7,0.26,0.75
186514,11.1,0.10464,17.46,16.48,-21.36,-22.11,2.03,0.28,0.21,0.75
186515,11.38,0.10451,16.86,15.84,-21.96,-22.75,6.85,0.38,0.77,0.79
186516,10.949,0.10459,18.0,17.0,-20.84,-21.62,3.44,0.36,0.52,0.78
186517,10.606,0.06168,16.45,15.86,-20.95,-21.47,1.61,0.16,0.3,0.52
186518,11.304,0.10736,17.16,16.11,-21.75,-22.55,5.62,0.33,1.0,0.8
186519,11.069,0.10745,17.78,16.77,-21.11,-21.91,1.93,0.69,0.22,0.8
186520,11.146,0.11809,17.59,16.59,-21.54,-22.3,4.5,0.13,0.92,0.76
186521,11.011,0.10544,17.79,16.79,-21.06,-21.83,5.47,0.74,0.54,0.77
186522,11.294,0.11834,16.96,15.92,-22.2,-22.97,4.02,0.61,0.95,0.77
186523,10.941,0.06199,16.42,15.56,-21.04,-21.78,3.89,0.35,0.46,0.74
186524,11.025,0.09854,17.28,16.34,-21.35,-22.09,4.92,0.22,0.86,0.74
186525,11.253,0.0978,16.05,15.32,-22.47,-23.07,5.14,0.0,0.51,0.6
186526,10.847,0.07785,17.06,16.18,-20.95,-21.68,4.41,0.52,0.92,0.73
186527,10.626,0.07757,17.49,16.77,-20.45,-21.09,1.09,0.59,0.06,0.64
186528,10.506,0.06428,16.4,15.87,-21.05,-21.54,1.1,0.16,0.14,0.49
186529,10.962,0.06763,16.37,15.58,-21.28,-21.96,6.55,0.31,0.46,0.68
186530,10.777,0.07457,17.29,16.48,-20.61,-21.29,7.95,0.49,0.64,0.68
186531,10.941,0.06778,16.77,15.9,-20.92,-21.64,2.37,0.58,0.41,0.72
186532,9.576,0.03222,16.48,15.97,-19.36,-19.84,0.78,0.71,0.67,0.48
186533,10.939,0.10715,17.75,16.77,-21.1,-21.87,4.24,0.31,0.99,0.77
186534,11.231,0.09743,17.3,16.32,-21.32,-22.1,4.45,0.74,0.52,0.78
186535,11.309,0.12107,17.05,16.23,-22.09,-22.71,4.56,0.25,0.64,0.62
